red_win,red_climb_l3_any,red_climb_l2_count,red_climb_l1_count,red_auto_count,red_auto_align_sum,red_depot_sum,red_outpost_sum,red_under_trench_sum,red_over_bump_sum,red_fuel_scorer_count,red_driver_hours_sum,red_driver_hours_max,red_build_quality_mean,blue_climb_l3_any,blue_climb_l2_count,blue_climb_l1_count,blue_auto_count,blue_auto_align_sum,blue_depot_sum,blue_outpost_sum,blue_under_trench_sum,blue_over_bump_sum,blue_fuel_scorer_count,blue_driver_hours_sum,blue_driver_hours_max,blue_build_quality_mean,delta_climb_l3_any,delta_climb_l2_count,delta_climb_l1_count,delta_auto_count,delta_auto_align_sum,delta_depot_sum,delta_outpost_sum,delta_under_trench_sum,delta_over_bump_sum,delta_fuel_scorer_count,delta_driver_hours_sum,delta_driver_hours_max,delta_build_quality_mean
0,0,0,1,3,2,0,0,2,3,2,101.5,70,4.333,0,0,0,2,1,1,0,1,2,1,10,5,5.333,0,0,1,1,1,-1,0,1,1,1,91.5,65,-1
1,0,0,0,2,1,0,0,1,2,0,45,40,6.667,0,0,1,2,1,0,0,2,2,0,40,30,5,0,0,-1,0,0,0,0,-1,0,0,5,10,1.667
1,1,0,0,2,1,0,0,2,3,1,50,50,7.333,0,0,0,2,3,1,1,2,3,0,0,0,7.667,1,0,0,0,-2,-1,-1,0,0,1,50,50,-0.334
0,0,0,1,2,0,0,0,1,2,1,23,12,5.667,0,0,1,3,3,0,0,3,3,2,105,90,6.667,0,0,0,-1,-3,0,0,-2,-1,-1,-82,-78,-1
1,0,1,0,1,1,0,0,1,3,2,15,10,7.333,0,0,1,3,1,0,0,2,3,2,1,1,6.333,0,1,-1,-2,0,0,0,-1,0,0,14,9,1
0,0,0,0,1,2,0,0,0,2,0,5,5,7,1,0,1,3,1,0,0,2,2,1,56.5,50,4.667,-1,0,-1,-2,1,0,0,-2,0,-1,-51.5,-45,2.333
1,0,0,0,3,3,2,1,2,3,2,13,8,8.333,0,0,2,3,2,0,0,3,3,2,37,30,6.667,0,0,-2,0,1,2,1,-1,0,0,-24,-22,1.666
1,0,0,1,3,1,0,0,0,3,1,50,40,7.333,0,0,0,2,1,0,0,2,3,1,75,70,5.333,0,0,1,1,0,0,0,-2,0,0,-25,-30,2
0,0,0,1,2,1,0,0,1,3,1,6,6,5.333,0,1,0,0,0,0,0,1,1,1,15,5,5.667,0,-1,1,2,1,0,0,0,2,0,-9,1,-0.334
1,0,0,0,3,2,0,0,3,3,1,132,90,6.333,0,0,0,2,1,0,0,3,3,1,1,1,5.667,0,0,0,1,1,0,0,0,0,0,131,89,0.666
1,0,0,1,3,2,1,1,2,3,0,70,40,7.667,0,0,1,2,2,0,0,0,3,1,10,10,7.333,0,0,0,1,0,1,1,2,0,-1,60,30,0.334
0,0,0,1,3,1,0,0,2,2,1,19,8,5.333,1,1,0,2,2,0,0,3,3,2,125,70,7,-1,-1,1,1,-1,0,0,-1,-1,-1,-106,-62,-1.667
0,0,0,0,2,1,0,0,2,2,1,36,30,6.667,0,0,1,3,1,0,0,1,3,2,13.5,12,5.667,0,0,-1,-1,0,0,0,1,-1,-1,22.5,18,1
1,0,0,0,1,1,1,0,0,1,1,15,5,6.333,0,0,0,1,1,0,0,2,3,1,5,5,5.667,0,0,0,0,0,1,0,-2,-2,0,10,0,0.666
0,0,0,0,2,1,0,0,2,3,0,90,90,4.667,0,0,1,3,2,0,0,3,3,2,7,7,6,0,0,-1,-1,-1,0,0,-1,0,-2,83,83,-1.333
0,0,0,2,3,1,0,0,1,3,3,9.5,8,5,1,0,0,2,2,0,0,2,3,1,62,50,8.333,-1,0,2,1,-1,0,0,-1,0,2,-52.5,-42,-3.333
0,0,0,0,2,3,0,0,2,3,1,70,70,6.667,0,0,0,2,0,0,0,2,1,0,15,5,4,0,0,0,0,3,0,0,0,2,1,55,65,2.667
1,0,0,1,3,0,0,0,2,3,1,6,6,3.667,0,0,0,1,0,0,0,0,3,1,40,40,7.667,0,0,1,2,0,0,0,2,0,0,-34,-34,-4
0,0,0,0,2,2,1,0,1,2,1,40,30,7,0,0,1,3,2,0,0,2,3,2,18,10,8,0,0,-1,-1,0,1,0,-1,-1,-1,22,20,-1
1,0,1,0,2,2,0,0,3,3,1,95,90,5.333,0,0,1,2,2,1,1,2,2,0,35,30,6.667,0,1,-1,0,0,-1,-1,1,1,1,60,60,-1.334
1,1,0,0,2,2,0,0,1,3,1,50,50,8,0,0,0,3,1,0,0,2,3,2,60,40,8,1,0,0,-1,1,0,0,-1,0,-1,-10,10,0
0,0,0,0,2,1,0,0,2,2,2,76,70,6,0,0,0,1,1,0,0,1,2,1,5,5,6,0,0,0,1,0,0,0,1,0,1,71,65,0
1,0,0,1,3,3,1,1,3,3,1,37,30,7.667,0,0,0,2,1,0,0,2,1,0,100,90,4.333,0,0,1,1,2,1,1,1,2,1,-63,-60,3.334
0,0,0,1,3,3,1,0,2,3,1,35,30,7,0,0,1,3,1,0,0,1,3,0,21,10,5,0,0,0,0,2,1,0,1,0,1,14,20,2
1,0,1,1,2,0,0,0,2,3,2,6.5,5,3.333,0,0,1,1,1,0,0,1,3,1,0,0,7,0,1,0,1,-1,0,0,1,0,1,6.5,5,-3.667
1,0,0,0,2,1,1,1,2,2,1,17,12,7,0,0,0,1,1,0,0,1,2,2,13,8,6.667,0,0,0,1,0,1,1,1,0,-1,4,4,0.333
1,1,0,0,3,1,0,0,2,3,0,95,50,6.667,0,0,0,2,3,0,0,2,3,0,30,30,6.667,1,0,0,1,-2,0,0,0,0,0,65,20,0
1,0,0,0,2,0,0,0,2,1,0,10,5,3.667,0,0,0,2,1,1,0,1,3,2,6,5,8.333,0,0,0,0,-1,-1,0,1,-2,-2,4,0,-4.666
1,0,0,2,3,2,0,0,2,3,2,98.5,90,4.333,0,0,3,3,1,0,0,1,3,1,36,30,5.667,0,0,-1,0,1,0,0,1,0,1,62.5,60,-1.334
0,0,1,0,1,1,0,0,3,3,2,5,5,6.333,0,0,0,3,3,0,0,1,3,1,80,70,7,0,1,0,-2,-2,0,0,2,0,1,-75,-65,-0.667
0,0,0,0,2,1,0,0,2,2,1,18,8,5.333,0,0,0,2,1,1,1,2,2,0,5,5,5,0,0,0,0,0,-1,-1,0,0,1,13,3,0.333
0,0,0,1,2,1,0,0,2,2,1,36,30,6.667,0,0,2,2,1,0,0,1,3,3,7,7,7,0,0,-1,0,0,0,0,1,-1,-2,29,23,-0.333
1,0,0,1,3,1,0,0,1,3,2,11.5,10,4.667,0,0,0,3,2,0,0,2,3,1,200,90,5.667,0,0,1,0,-1,0,0,-1,0,1,-188.5,-80,-1
0,0,0,0,2,1,0,0,2,3,1,12,12,7,0,0,0,1,3,1,0,1,3,1,5,5,8,0,0,0,1,-2,-1,0,1,0,0,7,7,-1
0,0,1,1,2,1,0,0,1,3,1,11,6,6.333,1,0,0,3,2,0,0,3,2,0,85,50,6.667,-1,1,1,-1,-1,0,0,-2,1,1,-74,-44,-0.334
1,0,0,0,3,1,0,0,3,3,1,95,90,4,0,0,1,1,0,0,0,0,2,2,6.5,5,4.333,0,0,-1,2,1,0,0,3,1,-1,88.5,85,-0.333
1,0,0,1,1,2,0,0,1,3,0,30,30,7.667,0,0,0,1,1,0,0,1,1,0,10,5,5,0,0,1,0,1,0,0,0,2,0,20,25,2.667
1,0,0,1,3,1,1,1,2,2,1,5,5,6,0,0,1,3,2,1,0,1,3,2,81,70,6,0,0,0,0,-1,0,1,1,-1,-1,-76,-65,0
0,0,0,0,3,1,0,0,1,3,1,41,40,8,0,1,0,2,2,0,0,3,3,2,43,30,7.333,0,-1,0,1,-1,0,0,-2,0,-1,-2,10,0.667
1,1,0,0,2,3,0,0,2,3,0,60,50,8,0,0,1,3,1,0,0,3,3,2,19,12,6,1,0,-1,-1,2,0,0,-1,0,-2,41,38,2
0,0,0,0,1,1,0,0,1,2,2,75,70,5.667,0,0,1,2,1,1,1,1,3,1,1.5,1.5,5.667,0,0,-1,-1,0,-1,-1,0,-1,1,73.5,68.5,0
0,0,0,0,2,1,0,0,2,2,0,40,30,5,0,0,0,3,2,0,0,2,3,1,0,0,6,0,0,0,-1,-1,0,0,0,-1,-1,40,30,-1
0,0,0,0,3,3,1,0,1,3,1,105,90,7,1,0,1,3,1,0,0,2,3,1,50,50,5.667,-1,0,-1,0,2,1,0,-1,0,0,55,40,1.333
1,0,0,0,2,2,0,0,2,3,2,9,8,8,0,0,2,2,2,0,0,2,3,0,36,30,6,0,0,-2,0,0,0,0,0,0,2,-27,-22,2
1,0,0,1,2,1,0,0,1,2,1,52,40,7,0,1,0,2,0,0,0,3,2,2,22,12,6.333,0,-1,1,0,1,0,0,-2,0,-1,30,28,0.667
1,0,0,0,2,2,1,0,0,2,1,10,5,7.333,0,0,0,1,1,0,0,0,2,0,15,10,7,0,0,0,1,1,1,0,0,0,1,-5,-5,0.333
0,0,0,1,2,2,0,0,2,3,2,100,70,6.333,1,0,0,3,2,0,0,3,3,1,141,90,7,-1,0,1,-1,0,0,0,-1,0,1,-41,-20,-0.667
1,0,0,1,2,2,0,0,3,2,1,12,7,6.333,0,0,2,3,0,0,0,0,3,1,47.5,40,4.333,0,0,-1,-1,2,0,0,3,-1,0,-35.5,-33,2
0,0,0,1,3,1,0,0,2,3,2,30,30,6,0,0,0,2,2,0,0,2,2,1,13,8,6,0,0,1,1,-1,0,0,0,1,1,17,22,0
0,0,0,0,3,0,0,0,3,3,1,17,12,4.333,0,1,0,1,2,1,1,2,3,1,5,5,7.667,0,-1,0,2,-2,-1,-1,1,0,0,12,7,-3.334
0,0,0,0,1,1,0,0,1,2,0,45,40,6.667,1,0,1,2,2,0,0,2,2,0,85,50,7,-1,0,-1,-1,-1,0,0,-1,0,0,-40,-10,-0.333
0,0,0,1,2,1,0,0,0,2,1,5,5,6.333,0,0,2,3,2,1,0,1,3,2,18,7,7,0,0,-1,-1,-1,-1,0,-1,-1,-1,-13,-2,-0.667
1,0,1,0,1,1,0,0,2,3,2,13,8,7.667,0,0,1,3,0,0,0,2,3,2,7.5,5,4,0,1,-1,-2,1,0,0,0,0,0,5.5,3,3.667
0,0,0,0,3,2,0,0,2,2,0,15,10,5.667,0,0,0,3,3,1,1,3,3,0,120,90,6.333,0,0,0,0,-1,-1,-1,-1,-1,0,-105,-80,-0.666
1,0,0,0,1,1,0,0,1,3,1,0,0,5.667,0,0,0,3,1,0,0,3,3,3,82,70,6,0,0,0,-2,0,0,0,-2,0,-2,-82,-70,-0.333
