match,red_win,red_climb_l3_any,red_climb_l2_count,red_climb_l1_count,red_auto_count,red_auto_align_sum,red_depot_sum,red_outpost_sum,red_under_trench_sum,red_over_bump_sum,red_fuel_scorer_count,red_driver_hours_sum,red_driver_hours_max,red_build_quality_mean,blue_climb_l3_any,blue_climb_l2_count,blue_climb_l1_count,blue_auto_count,blue_auto_align_sum,blue_depot_sum,blue_outpost_sum,blue_under_trench_sum,blue_over_bump_sum,blue_fuel_scorer_count,blue_driver_hours_sum,blue_driver_hours_max,blue_build_quality_mean,delta_climb_l3_any,delta_climb_l2_count,delta_climb_l1_count,delta_auto_count,delta_auto_align_sum,delta_depot_sum,delta_outpost_sum,delta_under_trench_sum,delta_over_bump_sum,delta_fuel_scorer_count,delta_driver_hours_sum,delta_driver_hours_max,delta_build_quality_mean
1,0,0,1,1,1,0,0,0,2,2,1,707,475,4.667,0,0,2,3,1,0,0,1,2,1,30,20,6.333,0,1,-1,-2,-1,0,0,1,0,0,677,455,-1.666
2,0,1,1,2,3,2,2,1,3,3,1,518,500,6.667,0,0,2,3,3,1,0,1,3,2,80,70,7.333,1,1,0,0,-1,1,1,2,0,-1,438,430,-0.666
3,1,0,1,1,1,1,0,0,0,3,1,13,8,7.333,0,0,1,3,1,1,1,2,2,2,95,60,56.333,0,1,0,-2,0,-1,-1,-2,1,-1,-82,-52,-49
4,0,0,0,0,3,2,0,1,2,3,0,40,30,7,0,0,1,2,1,0,0,1,3,2,150,100,6,0,0,-1,1,1,0,1,1,0,-2,-110,-70,1
5,1,0,0,0,3,2,0,1,2,3,2,4,4,9,0,0,0,2,1,0,0,1,3,0,30,20,5,0,0,0,1,1,0,1,1,0,2,-26,-16,4
6,0,0,1,1,2,2,0,0,2,3,0,101,60,31.667,0,0,1,3,3,1,1,2,3,2,35,25,7,0,1,0,-1,-1,-1,-1,0,0,-2,66,35,24.667
7,0,0,0,1,1,0,0,0,3,2,0,495,475,4.333,1,1,1,3,2,1,0,3,2,1,560,500,32.333,-1,-1,0,-2,-2,-1,0,0,0,-1,-65,-25,-28
8,1,0,0,2,2,0,1,1,1,2,1,37,32,5.333,0,1,0,2,2,0,1,1,3,1,205,200,6.667,0,-1,2,0,-2,1,0,0,-1,0,-168,-168,-1.334
9,0,0,0,2,2,0,1,1,1,3,0,32,18,5.333,0,0,0,3,2,0,0,3,3,1,95,70,6.667,0,0,2,-1,-2,1,1,-2,0,-1,-63,-52,-1.334
10,0,0,0,0,3,2,1,1,2,3,2,165,100,7,0,0,1,3,2,0,1,0,3,3,62,50,8.667,0,0,-1,0,0,1,0,2,0,-1,103,50,-1.667
