red_win,red_opr_sum,red_epa_sum,red_climb_l3_any,red_climb_l2_count,red_climb_l1_count,red_auto_align_sum,red_depot_sum,red_outpost_sum,red_under_trench_sum,red_over_bump_sum,red_fuel_scorer_count,red_driver_hours_sum,red_driver_hours_max,red_build_quality_mean,blue_opr_sum,blue_epa_sum,blue_climb_l3_any,blue_climb_l2_count,blue_climb_l1_count,blue_auto_align_sum,blue_depot_sum,blue_outpost_sum,blue_under_trench_sum,blue_over_bump_sum,blue_fuel_scorer_count,blue_driver_hours_sum,blue_driver_hours_max,blue_build_quality_mean
0,67.59798600528933,4380.0,0,0,1,2,0,0,2,3,3,101.5,70.0,4.333333333333333,120.73369546114276,4356.0,0,0,0,1,1,0,1,2,1,5.0,5.0,5.333333333333333
1,77.26569109238966,4341.0,0,0,0,1,0,0,1,2,1,45.0,40.0,6.666666666666667,96.4925664180146,4355.0,0,0,1,1,0,0,2,2,0,35.0,30.0,5.0
1,206.23814120621296,4598.0,1,0,0,1,0,0,2,3,1,50.0,50.0,7.333333333333333,70.15448280597676,4397.0,0,0,0,3,1,1,2,3,2,0.0,0.0,7.666666666666667
0,83.35620682819321,4402.0,0,0,1,0,0,0,1,2,1,18.0,12.0,5.666666666666667,252.99497359657684,4682.0,0,0,1,3,0,0,3,3,3,105.0,90.0,6.666666666666667
1,36.511874007716855,4347.0,0,1,0,1,0,0,1,3,3,15.0,10.0,7.333333333333333,30.071049245154214,4280.0,0,0,1,1,0,0,2,3,3,1.0,1.0,6.333333333333333
0,117.0191344398446,4348.0,0,0,0,2,0,0,0,2,2,0.0,0.0,7.0,223.17501802784466,4670.0,1,0,1,1,0,0,2,2,1,56.5,50.0,4.666666666666667
1,167.95664316015657,4544.0,0,0,0,3,2,1,2,3,2,13.0,8.0,8.333333333333334,192.47597777336128,4596.0,0,0,2,2,0,0,3,3,2,37.0,30.0,6.666666666666667
1,30.928805615804997,4262.0,0,0,1,1,0,0,0,3,2,50.0,40.0,7.333333333333333,19.303018081987013,4230.0,0,0,0,1,0,0,2,3,1,75.0,70.0,5.333333333333333
0,51.486384909021965,4370.0,0,0,1,1,0,0,1,3,2,6.0,6.0,5.333333333333333,116.22041453380632,4401.0,0,1,0,0,0,0,1,1,1,5.0,5.0,5.666666666666667
1,98.37988016537213,4423.0,0,0,0,2,0,0,3,3,3,132.0,90.0,6.333333333333333,24.471389959467693,4294.0,0,0,0,1,0,0,3,3,2,1.0,1.0,5.666666666666667
1,62.66747673507166,4353.0,0,0,1,2,1,1,2,3,0,70.0,40.0,7.666666666666667,86.01773999692276,4413.0,0,0,1,2,0,0,0,3,3,10.0,10.0,7.333333333333333
0,110.82652145978884,4484.0,0,0,1,1,0,0,2,2,1,19.0,8.0,5.333333333333333,151.337803654477,4497.0,1,1,0,2,0,0,3,3,2,125.0,70.0,7.0
0,47.70185563037026,4367.0,0,0,0,1,0,0,2,2,2,31.0,30.0,6.666666666666667,98.16939993718006,4371.0,0,0,1,1,0,0,1,3,3,13.5,12.0,5.666666666666667
1,188.12180725308667,4422.0,0,0,0,1,1,0,0,1,1,5.0,5.0,6.333333333333333,10.122153311451571,4257.0,0,0,0,1,0,0,2,3,2,5.0,5.0,5.666666666666667
0,90.52295561117624,4401.0,0,0,0,1,0,0,2,3,1,90.0,90.0,4.666666666666667,195.92895307714213,4573.0,0,0,1,2,0,0,3,3,3,7.0,7.0,6.0
0,120.24288482193012,4437.0,0,0,2,1,0,0,1,3,3,9.5,8.0,5.0,228.10625892498396,4618.0,1,0,0,2,0,0,2,3,2,62.0,50.0,8.333333333333334
0,23.38294735612225,4274.0,0,0,0,3,0,0,2,3,3,70.0,70.0,6.666666666666667,49.56421729067209,4344.0,0,0,0,0,0,0,2,1,0,10.0,5.0,4.0
1,74.46144994334806,4386.0,0,0,1,0,0,0,2,3,1,6.0,6.0,3.6666666666666665,25.387589864215812,4237.0,0,0,0,0,0,0,0,3,1,40.0,40.0,7.666666666666667
0,158.626072982838,4477.0,0,0,0,2,1,0,1,2,2,35.0,30.0,7.0,166.297250733001,4560.0,0,0,1,2,0,0,2,3,3,18.0,10.0,8.0
1,86.73977608858257,4388.0,0,1,0,2,0,0,3,3,3,95.0,90.0,5.333333333333333,108.60821866097338,4417.0,0,0,1,2,1,1,2,2,0,30.0,30.0,6.666666666666667
1,163.2857046553321,4537.0,1,0,0,2,0,0,1,3,2,50.0,50.0,8.0,88.0184168795088,4305.0,0,0,0,1,0,0,2,3,2,60.0,40.0,8.0
0,77.69021164812696,4313.0,0,0,0,1,0,0,2,2,2,71.0,70.0,6.0,119.56623511780748,4454.0,0,0,0,1,0,0,1,2,2,0.0,0.0,6.0
1,196.709624905244,4646.0,0,0,1,3,1,1,3,3,2,37.0,30.0,7.666666666666667,123.13272213070209,4416.0,0,0,0,1,0,0,2,1,1,95.0,90.0,4.333333333333333
0,106.2143130397146,4436.0,0,0,1,3,1,0,2,3,2,35.0,30.0,7.0,52.37846398461826,4358.0,0,0,1,1,0,0,1,3,1,21.0,10.0,5.0
1,74.84732760395578,4361.0,0,1,1,0,0,0,2,3,2,6.5,5.0,3.3333333333333335,39.57364670165717,4312.0,0,0,1,1,0,0,1,3,2,0.0,0.0,7.0
1,149.01010906625868,4459.0,0,0,0,1,1,1,2,2,1,12.0,12.0,7.0,107.87837378478419,4365.0,0,0,0,1,0,0,1,2,2,8.0,8.0,6.666666666666667
1,144.23986818100482,4409.0,1,0,0,1,0,0,2,3,0,95.0,50.0,6.666666666666667,94.27075906576258,4430.0,0,0,0,3,0,0,2,3,3,30.0,30.0,6.666666666666667
1,62.3810308863391,4400.0,0,0,0,0,0,0,2,1,0,5.0,5.0,3.6666666666666665,90.75396020280971,4370.0,0,0,0,1,1,0,1,3,2,6.0,5.0,8.333333333333334
1,246.79679152215587,4674.0,0,0,2,2,0,0,2,3,3,98.5,90.0,4.333333333333333,51.43807677939157,4374.0,0,0,3,1,0,0,1,3,1,36.0,30.0,5.666666666666667
0,55.36086503923911,4334.0,0,1,0,1,0,0,3,3,3,5.0,5.0,6.333333333333333,39.286832138921596,4323.0,0,0,0,3,0,0,1,3,3,80.0,70.0,7.0
0,88.12652144345124,4376.0,0,0,0,1,0,0,2,2,1,13.0,8.0,5.333333333333333,133.0494662990643,4457.0,0,0,0,1,1,1,2,2,0,0.0,0.0,5.0
0,67.95557769829317,4307.0,0,0,1,1,0,0,2,2,1,31.0,30.0,6.666666666666667,142.68279140354352,4496.0,0,0,2,1,0,0,1,3,3,7.0,7.0,7.0
1,117.17760004487332,4472.0,0,0,1,1,0,0,1,3,3,11.5,10.0,4.666666666666667,51.267616054267585,4268.0,0,0,0,2,0,0,2,3,2,200.0,90.0,5.666666666666667
0,74.56489891310105,4342.0,0,0,0,1,0,0,2,3,2,12.0,12.0,7.0,129.3445643313863,4456.0,0,0,0,3,1,0,1,3,3,5.0,5.0,8.0
0,52.52819058408622,4330.0,0,1,1,1,0,0,1,3,2,11.0,6.0,6.333333333333333,184.7194398946005,4634.0,1,0,0,2,0,0,3,2,1,85.0,50.0,6.666666666666667
